"State","County","HPI","Personal_Income","Poverty_Percentage","Population","HighSchoolLess","HighSchoolOnly","SomeCollege","BachelorAndHigher","Unemployment_Rate"
"GA","Banks","142.29",35151,12.8,19234,24.1,38,24.5,13.4,2.7
"GA","Barrow","148.43",37436,9.7,83240,15.5,34.1,31.4,19,2.8
"GA","Bartow","146.03",39505,12.5,107738,16.4,33.4,31.6,18.6,3.3
"GA","Ben Hill","146.76",33228,22.8,16700,16.5,45.3,27,11.2,5.5
"GA","Berrien","130.16",32935,20.1,19397,21,42.4,25.2,11.4,4
"GA","Bibb","115.77",42696,23.2,153159,14,30.5,30.1,25.4,3.9
"GA","Bryan","152.48",53853,7.8,39627,8.4,24.3,34.2,33.1,3
"GA","Bulloch","139.96",32724,21.9,79608,12.7,27.2,33.2,27,3.7
"GA","Burke","158.95",38481,23.6,22383,19.9,38.3,28.5,13.2,5.1
"GA","Butts","136.15",35017,14.7,24936,19.4,44.7,23.7,12.2,3.4
"GA","Camden","155.23",37184,13.8,54666,8.7,32.2,35.3,23.9,3.6
"GA","Candler","135.82",34192,23.1,10803,22.7,37.3,27,13,3
"GA","Carroll","139.42",39147,14.9,119992,15.4,33.4,30.2,21.1,3.4
"GA","Catoosa","150.08",36399,10,67580,12.5,32.9,33.2,21.4,3
"GA","Chatham","180.25",48294,14.8,289430,10.1,24.2,32.1,33.6,3.3
"GA","Chattooga","129.44",31577,17.4,24789,26.2,40.1,24.8,8.9,5
"GA","Cherokee","162.87",52953,6.5,258773,7.9,22.4,31.5,38.2,2.7
"GA","Clarke","161.74",34869,25.7,128331,12,19.9,24.1,44,3.6
"GA","Clayton","119.68",28665,16,292256,15.2,33.6,31.7,19.5,4.2
"GA","Cobb","165.65",59194,8.3,760141,7.9,18.5,26.2,47.4,3
"GA","Coffee","130.14",34073,20.2,43273,24.3,37.2,25.5,13,3.9
"GA","Colquitt","143.06",34780,21.9,45600,25.3,38.8,23.1,12.8,3.2
"GA","Columbia","153.34",51184,5.6,156714,7.3,23.8,32.6,36.4,3
"GA","Cook","119.91",33845,21.4,17270,20.9,36.3,29.3,13.5,3.4
"GA","Coweta","149.70",48424,9,148509,10.8,28.6,30.3,30.3,2.9
"GA","Crawford","125.27",34100,15.3,12404,16.9,40,32.6,10.5,3.6
"GA","Crisp","122.61",35421,26.7,22372,17.2,37.6,31.1,14.1,3.9
"GA","Dade","143.43",34639,13.5,16116,19.3,37.7,27.9,15.2,3.3
"GA","Dawson","152.22",46278,8.8,26108,12.8,29.1,27.5,30.6,2.8
"GA","Decatur","136.84",38393,23.4,26404,17.5,36.7,32,13.8,3.8
"GA","Dodge","122.21",31970,20.6,20605,14.4,44.2,27.1,14.3,5.4
"GA","Dougherty","116.04",37050,27.6,87956,16.6,30.2,31.8,21.4,4.7
"GA","Douglas","130.39",36497,10.9,146343,12.2,30.4,29.3,28.2,3.5
"GA","Effingham","146.79",42271,9.1,64296,11.7,37.5,30.8,20,2.9
"GA","Elbert","113.57",35550,20.6,19194,21.6,40.9,25.9,11.6,4
"GA","Emanuel","136.19",33921,20.9,22646,21.4,40.8,24.7,13,5.3
"GA","Fannin","164.23",37385,12.1,26188,13.4,33.5,31.3,21.8,3.3
"GA","Fayette","145.67",67467,5.4,114421,4.7,20.9,28.2,46.2,3
"GA","Floyd","133.62",39314,16.4,98498,17.6,34.3,27.2,20.9,3.8
"GA","Forsyth","157.88",63864,4.5,244252,7,15.6,24.3,53.1,2.7
"GA","Franklin","139.11",34017,17.3,23349,17.7,39.4,27,15.9,3.5
"GA","Fulton","169.24",88832,13.8,1063937,7.4,17.7,22,52.9,3.5
"GA","Gilmer","160.10",35576,14.6,31369,18.3,35.4,25.9,20.4,3.5
"GA","Glynn","156.43",48170,15.4,85292,11.9,26.7,31.5,29.9,3.3
"GA","Gordon","140.66",35557,12.3,57963,22.1,34.9,28.3,14.7,3.4
"GA","Grady","125.39",36527,21.7,24633,19.9,39.2,27,13.9,3.4
"GA","Greene","145.89",58708,15,18324,14.7,33.4,25.1,26.9,3.9
"GA","Gwinnett","151.14",42902,9.2,936250,12.3,22.3,28.4,36.9,3
"GA","Habersham","135.17",34831,15.2,45328,20.4,34.7,25.6,19.3,3.5
"GA","Hall","149.19",45576,13.5,204441,20.9,27.7,26.9,24.5,2.8
"GA","Haralson","140.69",37582,14.4,29792,18.8,36.1,30.4,14.8,3.3
"GA","Harris","132.92",49471,6.5,35236,7.8,23.7,37.1,31.4,3.1
"GA","Hart","140.40",37701,14.6,26205,18.5,36.9,28.9,15.7,3.5
"GA","Heard","140.06",31965,16.7,11923,20.3,45.1,25.8,8.7,3.3
"GA","Henry","126.31",40182,8.1,234561,8.8,31.7,31.1,28.5,3.5
"GA","Houston","127.07",44059,11,157863,8.4,27,36.2,28.3,3.3
"GA","Irwin","140.97",36036,20.5,9416,18.5,40.2,26.1,15.1,4.7
"GA","Jackson","142.88",43508,10.3,72977,15.9,32.1,29.2,22.7,2.7
"GA","Jasper","147.93",38568,12.4,14219,17.2,38.1,30.4,14.2,3.1
"GA","Jeff Davis","132.98",32069,21.2,15115,20.7,38.7,30.3,10.3,4.6
"GA","Jefferson","141.14",36033,25.1,15362,23.6,41.8,24.7,9.9,4.7
"GA","Jones","117.95",38526,12.8,28735,10.9,39.2,30.3,19.6,3.2
"GA","Lamar","129.07",34375,14.8,19077,13,39.4,31.8,15.8,3.9
"GA","Laurens","126.33",38995,23.9,47546,14.1,43.1,26.5,16.2,4.6
"GA","Lee","125.89",49274,9.3,29992,9.1,29.8,35.7,25.4,3.1
"GA","Liberty","134.94",37424,14.5,61435,9.3,31.6,40.9,18.3,3.7
"GA","Lincoln","159.34",38527,17.3,7921,17.9,39.7,26.6,15.9,3.9
"GA","Lowndes","128.25",38706,20.4,117406,13.4,31.4,29.9,25.3,3.5
"GA","Lumpkin","133.56",38450,14.5,33610,15.2,30.4,28,26.4,3.1
"GA","McDuffie","142.71",38456,18,21312,16.6,41.6,27.7,14,5.1
"GA","Macon","110.75",32343,29.4,12947,26.4,34.8,30.1,8.8,4.6
"GA","Madison","139.24",36879,15.6,29880,16.8,39.8,24.9,18.5,3
"GA","Meriwether","127.88",36050,22.2,21167,20.3,39.8,29.5,10.4,4.5
"GA","Mitchell","140.86",37608,30.7,21863,22.8,39.5,28,9.7,4.6
"GA","Monroe","127.31",46563,10.6,27578,14.3,33.3,25.6,26.8,3.2
"GA","Morgan","152.45",51677,11.1,19276,12.3,36,30.9,20.7,3.1
"GA","Murray","135.33",30964,14.5,40096,29.3,37.4,23.2,10.1,5
"GA","Muscogee","125.93",45352,18.4,195769,12,27.4,34.9,25.8,4.5
"GA","Newton","137.28",34696,11.2,111744,13.4,33.8,33.1,19.8,3.9
"GA","Oconee","164.56",67845,5.6,40280,5.5,19.3,22.9,52.3,2.5
"GA","Oglethorpe","140.26",36698,12.8,15259,20.3,38.9,23.8,17.1,3.2
"GA","Paulding","145.41",38978,6.8,168667,10.6,32.9,33.8,22.6,2.9
"GA","Peach","126.35",39336,19.8,27546,17,29.8,32.6,20.5,4.1
"GA","Pickens","141.21",48493,10.3,32591,14.7,31.5,30.7,23.1,3
"GA","Pierce","146.08",37486,16.4,19465,16.6,42.8,28.1,12.6,3.4
"GA","Pike","128.49",41401,8.7,18962,11.8,41.8,29.3,17.1,3
"GA","Polk","129.56",34055,16.2,42613,21.2,37.9,27.2,13.7,3.6
"GA","Putnam","171.54",44643,15.1,22119,12.4,37.6,26.6,23.4,4.3
"GA","Rabun","132.25",41058,13,17137,15.2,33.1,27.5,24.2,3.5
"GA","Richmond","140.26",39370,21.7,202518,15.9,31.4,31.4,21.4,4.5
"GA","Rockdale","123.25",36138,12.1,90896,11.2,31.5,31,26.3,3.8
"GA","Screven","124.95",35346,24.1,13966,16.5,41.5,26.6,15.4,5.4
"GA","Spalding","118.57",35740,17.7,66703,18.1,39.8,24.3,17.8,4
"GA","Stephens","111.24",39335,15,25925,17.9,38.6,22.4,21,3.9
"GA","Sumter","125.10",37936,26.7,29524,18.6,34.7,28.5,18.3,4.8
"GA","Tattnall","148.07",29106,26.5,25286,24.2,38.1,24.5,13.2,3.8
"GA","Thomas","152.91",46223,18,44451,15.1,31.5,28.6,24.7,4
"GA","Tift","128.97",39317,21.5,40644,18.1,34.7,29.1,18.1,3.4
"GA","Toombs","156.76",37143,19.2,26830,19.9,37.5,26.4,16.2,4.9
"GA","Towns","137.18",39181,12.7,12037,10.1,29.9,30,30.1,4.8
"GA","Troup","132.02",37690,19.2,69922,16.6,35.1,29.3,19,3.2
"GA","Turner","123.07",36836,28,7985,18.8,38,31.5,11.7,3.8
"GA","Union","153.10",37588,11.6,24511,11,34,32.5,22.5,3.1
"GA","Upson","127.03",36653,19.1,26320,17.7,38.4,30.5,13.4,3.6
"GA","Walker","146.86",34078,14.7,69761,18,35.2,30.1,16.6,3.6
"GA","Walton","139.38",42406,10.8,94593,13.1,36,29.1,21.7,3.1
"GA","Ware","134.19",34915,26.3,35734,18.6,39.2,27,15.2,3.7
"GA","Washington","130.80",36321,21.4,20374,18.7,44.7,24.3,12.3,4.1
"GA","Wayne","140.06",32633,18.4,29927,16.6,42,28.5,13,4
"GA","White","137.34",35238,10.9,30798,14.8,30.9,31.5,22.7,2.6
"GA","Whitfield","139.20",39927,12.7,104628,30.5,29.4,24.3,15.7,4.4
"GA","Wilkes","113.36",42644,19.6,9777,16.3,44,25.9,13.8,4.5
"GA","Wilkinson","116.97",37011,17,8954,15.6,50.3,23.3,10.9,3.8
"GA","Worth","131.71",36974,20.3,20247,17.1,42.7,29.2,11,3.9
"HI","Hawaii","224.35",43578,13.1,201513,7.7,30.2,32.7,29.4,3.4
"HI","Honolulu","270.36",61174,7.9,974563,8.1,25.9,31,35,2.6
"HI","Kauai","265.20",51545,9.3,72293,7.5,30,33.3,29.2,2.7
"ID","Ada","233.07",54896,9.4,481587,4.8,22.4,34.3,38.5,2.5
"ID","Adams","183.68",39038,12.7,4294,9.8,34.9,34.2,21.2,6.8
"ID","Bannock","184.36",39246,13.5,87808,7.5,26.4,38.2,27.8,2.8
"ID","Bear Lake","194.32",43103,11.8,6125,6.5,38.4,36.2,18.9,2.9
"ID","Benewah","184.22",39695,15.4,9298,12.4,38.4,33.9,15.2,5.2
"ID","Bingham","194.28",37909,11.1,46811,10.8,31.3,36.6,21.2,2.7
"ID","Blaine","173.74",117097,7.2,23021,11.3,25.6,27.8,35.4,2.6
"ID","Boise","195.93",43320,11.6,7831,5.7,30.6,36.6,27.1,4.3
"ID","Bonner","221.56",42277,12.6,45739,9.2,29.8,37.2,23.8,4.2
"ID","Bonneville","193.89",50114,9.3,119062,8,25.4,35.2,31.3,2.4
"ID","Boundary","199.06",38142,14.8,12245,8.2,42.7,29.3,19.8,4.4
"ID","Canyon","212.80",34446,10.1,229849,14.9,32.1,34.4,18.7,3.2
"ID","Caribou","188.44",42527,10.1,7155,8.8,32.4,39.9,19,2.7
"ID","Cassia","195.07",49712,12,24030,16.4,29.8,35.3,18.6,2.4
"ID","Clearwater","178.00",36805,13.5,8756,9.6,35.5,37.1,17.9,6.8
"ID","Elmore","169.58",40585,14.1,27511,10.1,26.8,44.4,18.7,3.3
"ID","Franklin","188.18",37293,8.2,13876,9.7,37.8,34.8,17.7,2.3
"ID","Gem","210.76",39382,12.7,18112,12.2,37,33.4,17.5,3.3
"ID","Gooding","175.11",61715,15.1,15179,20.9,35,26.9,17.2,2.6
"ID","Idaho","182.38",35946,13.8,16667,9.5,36.1,34.6,19.8,4.5
"ID","Jefferson","201.46",37025,9.2,29871,9.8,25.5,40,24.7,2.3
"ID","Jerome","176.25",40190,14.2,24412,22.8,30.6,30.5,16.1,2.6
"ID","Kootenai","240.00",46645,10,165697,6.8,27.2,40.7,25.2,3.6
"ID","Latah","200.82",41833,11.7,40108,4.2,19.7,30.7,45.4,2.7
"ID","Lemhi","206.15",44199,13.5,8027,7.9,30.3,38.9,22.9,4.8
"ID","Lincoln","175.08",41610,11.2,5366,23.4,33.3,33.1,10.3,3.6
"ID","Madison","189.92",28780,27.4,39907,4.1,15.2,44.3,36.4,1.8
"ID","Minidoka","210.74",41421,11.3,21039,20.8,32.1,33,14.1,2.5
"ID","Nez Perce","199.84",47200,11.1,40408,8,32.1,37,22.9,2.8
"ID","Oneida","186.00",39523,11.3,4531,9.8,34.9,38.2,17.1,2.3
"ID","Payette","187.20",41890,11,23951,14.3,34.7,35.3,15.7,3.6
"ID","Power","168.90",43313,13.1,7681,20.8,32.7,31.4,15.1,3.1
"ID","Shoshone","211.22",36793,19.1,12882,13.8,37,37.7,11.5,5.9
"ID","Teton","220.72",40911,7.7,12142,6.2,16.6,36.2,41,2.2
"ID","Twin Falls","187.96",42379,11,86878,12.9,27.2,39.3,20.6,2.8
"ID","Valley","230.47",51088,8.8,11392,5.4,26.7,37.6,30.4,3.9
"ID","Washington","179.17",36292,13.4,10194,15,33.8,34.9,16.3,4.2
"IL","Adams","150.52",47898,12.3,65435,7.5,35.4,32.1,25,3.4
"IL","Bond","139.66",37871,13,16426,10.8,33.1,33.3,22.9,3.8
"IL","Boone","106.77",47682,8.9,53544,13.8,34.8,27.9,23.5,5.6
"IL","Bureau","118.73",43040,11.2,32628,9.2,36.6,33.6,20.6,4.6
"IL","Carroll","119.86",45342,11.1,14305,8.8,38.1,33.5,19.5,4.1
"IL","Cass","133.67",41954,13,12147,16,43.1,25.8,15.1,4.1
"IL","Champaign","138.28",45967,19.9,209689,5,22,28,45,3.8
"IL","Christian","141.20",42576,12.3,32304,10.3,41.8,30.8,17.1,4.8
"IL","Clark","134.88",42593,10.8,15441,7.2,40,33,19.9,4.5
"IL","Clinton","134.78",47653,7.5,37562,9.9,31.9,35.9,22.3,3.1
"IL","Coles","122.64",41751,16.8,50621,8.6,30.5,34.9,26,4
"IL","Cook","134.66",65306,13,5150233,12.9,23.1,25.2,38.8,3.8
"IL","Crawford","155.00",47935,12.6,18667,15,28.6,39.4,17.1,4.3
"IL","Cumberland","149.64",83954,10.1,10766,9.4,40.1,35.1,15.4,3.4
"IL","Douglas","140.77",51859,8,19465,16.8,33.4,31,18.9,3.6
"IL","Edgar","124.75",42665,13.2,17161,9.9,37.3,35.5,17.2,4.2
"IL","Effingham","151.49",51296,9.2,34008,6.9,35.8,34.5,22.7,3.3
"IL","Fayette","135.88",36310,15.1,21336,16.2,40.2,32.4,11.3,4.4
"IL","Ford","128.58",50606,10,12961,9.6,35.5,33.6,21.4,4.3
"IL","Franklin","151.49",38289,16.4,38469,11.1,33,39.2,16.7,5.4
"IL","Fulton","130.15",38465,13.3,34340,11.4,34.5,36.6,17.6,5.6
"IL","Greene","134.57",36652,13.7,12969,9.4,47.6,30.2,12.8,4.3
"IL","Grundy","133.36",55741,5.6,51054,6.8,33.8,36.5,22.9,4.5
"IL","Hancock","131.83",45052,12.3,17708,6.6,36.6,35.9,21,4.7
"IL","Henry","133.26",46700,8.7,48913,8.8,33.7,34.2,23.3,4.8
"IL","Iroquois","123.83",44994,11.6,27114,10.5,39.8,33.8,15.9,4.2
"IL","Jackson","123.99",37967,25.4,56750,8.1,24.1,33.7,34.1,3.8
"IL","Jefferson","136.64",40516,14.9,37684,12.6,30.6,38.9,17.9,4.6
"IL","Jersey","123.75",42836,10.4,21773,7.7,38.8,33.2,20.3,4.4
"IL","Jo Daviess","129.17",48743,9.3,21235,7.7,35.9,31.4,25,4.1
"IL","Johnson","158.01",36717,12.9,12417,17.8,31.6,34.7,16,6
"IL","Kane","126.10",52163,8.2,532403,15.4,22.7,28.7,33.1,4.4
"IL","Kankakee","124.33",42687,12.7,109862,11.8,34.4,33,20.8,5
"IL","Kendall","127.50",49931,4,128990,7.6,22.9,33.4,36.2,3.3
"IL","Knox","118.71",40363,18.6,49699,10.9,36.6,33.5,18.9,5
"IL","Lake","117.65",80973,7.2,696535,9.4,20.8,24.6,45.3,4.1
"IL","Lawrence","125.97",30877,18.4,15678,15.1,34.7,35.3,14.9,5.2
"IL","Lee","124.20",42776,12,34096,11.2,33.8,36.8,18.2,4
"IL","Livingston","127.30",45090,13,35648,10.1,44.7,30.4,14.8,4.1
"IL","Logan","126.27",37660,12.8,28618,11.3,35.3,33.5,19.9,4.3
"IL","McDonough","124.30",38550,23.3,29682,6.4,31.2,30.1,32.2,4.7
"IL","McHenry","117.06",56711,5.4,307774,6.9,26.5,32.2,34.4,3.3
"IL","Macon","119.79",48764,16.7,104009,9.6,35.4,32.9,22.1,5.3
"IL","Macoupin","134.24",42341,13.5,44926,8.7,39.8,33.1,18.4,4.3
"IL","Madison","138.96",48222,10.9,262966,7.5,29.8,35.8,26.8,3.9
"IL","Marion","139.69",42895,15,37205,11,35.2,38.6,15.2,4.5
"IL","Marshall","120.40",45901,9,11438,7.1,39.4,34.6,18.9,4.8
"IL","Mason","129.53",41137,12.1,13359,10.8,42.8,30.4,16,5.3
"IL","Massac","118.73",38926,15.9,13772,13.2,33.6,39.3,13.9,5.6
"IL","Menard","143.80",47012,8.2,12196,5.9,35.8,34.3,24,3.8
"IL","Mercer","138.12",47701,8.1,15437,8.1,39.6,35,17.4,5
"IL","Monroe","138.76",59125,4.2,34637,4,27.6,33.3,35,3.1
