"State","County","HPI","Personal_Income","Poverty_Percentage","Population","HighSchoolLess","HighSchoolOnly","SomeCollege","BachelorAndHigher","Unemployment_Rate"
"IN","Benton","138.00",42135,8.7,8748,10.1,42.8,30.9,16.1,3.2
"IN","Blackford","111.94",38813,12.8,11758,10.6,49.6,26.4,13.5,4
"IN","Boone","151.78",76241,6.9,67843,6.3,19.5,24.9,49.3,2.5
"IN","Brown","155.89",48862,10.5,15092,7.9,32.9,30.3,28.9,3
"IN","Carroll","140.38",43432,8.7,20257,11.6,40.8,31,16.7,3
"IN","Cass","120.52",40693,12.6,37689,14.6,39.9,32.1,13.3,3.5
"IN","Clark","142.52",45270,9.7,118302,10.6,34.6,33.7,21.2,3.3
"IN","Clay","135.21",39004,11.3,26225,8.6,43.8,30.6,17,3.5
"IN","Clinton","124.52",39905,11.3,32399,14.3,43.2,26.1,16.3,2.7
"IN","Daviess","166.91",43998,11.3,33351,26.2,34,26.6,13.2,2.6
"IN","Dearborn","134.02",49949,9.3,49458,10.4,38.9,27.9,22.9,3.6
"IN","Decatur","140.95",44168,9.6,26559,9.1,44,26.3,20.6,2.9
"IN","Delaware","118.06",38129,21.5,114135,10.3,35.1,30.9,23.7,3.9
"IN","Dubois","149.78",57217,5.9,42736,10.7,38.3,27.2,23.7,2.4
"IN","Elkhart","139.81",46975,9.6,206341,19.2,34.7,26.3,19.8,3.1
"IN","Fayette","104.52",41993,13.5,23102,17.9,42.1,26.7,13.3,4.7
"IN","Floyd","147.08",57145,10.6,78522,9.2,30.9,30.3,29.6,3.2
"IN","Fountain","139.46",41412,12.5,16346,11,43.7,30.4,14.9,3.5
"IN","Franklin","132.24",47664,9.2,22758,12.7,42.5,23.7,21.1,3.4
"IN","Fulton","140.35",43775,9.6,19974,12.2,40.6,31.3,15.8,3.2
"IN","Gibson","151.39",46049,9.3,33659,8.1,40.9,33,18,2.5
"IN","Grant","113.01",41491,16,65769,12.8,40.5,28.9,17.9,3.7
"IN","Greene","141.42",41747,13.5,31922,12.1,41.1,31.9,14.9,4.1
"IN","Hamilton","153.88",77263,4.2,338011,3.2,14.9,22.5,59.3,2.5
"IN","Hancock","136.46",52134,5.2,78168,7.1,32.7,29.3,30.8,2.8
"IN","Harrison","149.54",43431,8.2,40515,11.6,39.6,30.1,18.7,3.2
"IN","Hendricks","142.01",50979,4.9,170311,6,27.5,29.5,37,2.7
"IN","Henry","117.03",39863,12.9,47972,10.7,43.7,29.1,16.4,3.3
"IN","Howard","114.56",42911,12.2,82544,10.5,35.9,32,21.6,4
"IN","Huntington","126.42",42824,9.7,36520,8.2,41.3,30.4,20.1,3.3
"IN","Jackson","140.79",44192,10.1,44231,12.7,41.9,28.7,16.7,2.6
"IN","Jasper","137.27",45777,8.8,33562,11.8,43.2,30.8,14.3,3.7
"IN","Jay","123.72",39317,12.5,20436,12,48.9,27.7,11.4,3
"IN","Jefferson","144.61",44102,11.6,32308,10.3,42.3,29.5,17.9,3.4
"IN","Jennings","135.51",41169,11.6,27735,12.2,45.8,30,12,3.3
"IN","Johnson","139.07",50018,6,158167,7.9,31.1,28.3,32.7,2.7
"IN","Knox","137.55",45882,12.7,36594,11.3,35.8,36,16.9,3.1
"IN","Kosciusko","151.21",48425,9,79456,14.3,34.8,27.5,23.3,2.8
"IN","Lake","141.32",46736,14.5,485493,11.3,35.1,31,22.6,4.9
"IN","Lawrence","151.20",42538,10.5,45370,11.7,42.3,30.2,15.8,3.6
"IN","Madison","120.75",39428,13.1,129569,11.6,39.4,30.6,18.4,3.7
"IN","Marion","142.27",54405,15.2,964582,13.9,28,27.2,30.9,3.3
"IN","Marshall","144.16",42196,10.9,46258,15.1,38.8,26.5,19.7,3.1
"IN","Martin","141.00",39207,10.9,10255,11.9,42.7,31.6,13.7,2.6
"IN","Miami","117.81",35970,13,35516,13.9,42,31.1,13,3.9
"IN","Monroe","171.82",43660,20.8,148431,7.3,22.2,24.8,45.7,3.3
"IN","Montgomery","133.51",40979,12.1,38338,10.2,41.3,30.3,18.2,3.1
"IN","Morgan","136.65",45352,8.9,70489,11.9,39.3,31.6,17.3,3.1
"IN","Newton","138.38",41454,9.5,13984,14.3,42.8,31.1,11.9,4.1
"IN","Noble","135.00",40799,7.8,47744,16.4,42,27.9,13.7,3.1
"IN","Ohio","134.25",41339,9.6,5875,12.4,43.1,29.8,14.7,3.5
"IN","Orange","135.80",38432,14.1,19646,16.8,46.6,25.7,10.9,3.5
"IN","Owen","129.20",41632,12,20799,14.6,44.4,27.9,13.1,4
"IN","Perry","128.96",38272,12.1,19169,9.7,44.7,29.5,16.1,3.3
"IN","Pike","161.78",41827,9.4,12389,13.2,41.7,30.9,14.1,3.3
"IN","Porter","143.13",54723,8.1,170389,6.4,35,30.1,28.4,3.7
"IN","Posey","146.94",50407,8.6,25427,6.6,38.2,33.3,21.9,2.7
"IN","Pulaski","134.46",45473,11.2,12353,11.5,46.1,29.7,12.8,3.1
"IN","Putnam","132.02",38303,10.5,37576,11.1,42.4,29.7,16.8,3.5
"IN","Randolph","124.00",39222,13.3,24665,12.5,43.4,29.7,14.3,3.7
"IN","Ripley","136.32",43282,9.1,28324,10.7,43.6,27.6,18,3.3
"IN","Rush","123.10",47445,11,16581,12.6,46.4,27,13.9,2.7
"IN","Scott","142.83",38948,13.6,23873,16.8,43.5,27.7,12,3.6
"IN","Shelby","131.56",44799,10.1,44729,12.7,42.4,26.2,18.7,2.9
"IN","Spencer","136.25",46393,8.7,20277,9.5,46,29.2,15.2,3.1
"IN","Starke","140.62",35648,13.3,22995,15.1,42.1,30.9,11.9,4.3
"IN","Steuben","144.08",44854,8.6,34594,8.9,39.6,29.8,21.8,2.7
"IN","Sullivan","133.02",36863,14.4,20669,11.3,44.2,32.4,12.1,4.3
"IN","Switzerland","109.15",32174,14.5,10751,16.1,46.4,26.6,10.9,3.3
"IN","Tippecanoe","133.40",39525,16.1,195732,8.4,25.4,27.5,38.7,2.9
"IN","Tipton","124.74",47392,7.8,15148,10.7,40.8,23.8,24.7,2.7
"IN","Union","124.16",40659,9.6,7054,12.6,43.4,25.6,18.5,3.3
"IN","Vanderburgh","136.99",47233,14.4,181451,9.9,32.5,30.6,27,3.1
"IN","Vermillion","133.23",38633,12.2,15498,9,43.4,33.4,14.2,5.2
"IN","Vigo","123.13",39432,20.8,107038,11.6,32,31.2,25.1,4.3
"IN","Wabash","132.92",43955,10.9,30996,11.2,42.6,28,18.1,3.1
"IN","Warren","151.94",45202,9.4,8265,8,41.8,30.8,19.4,3
"IN","Warrick","143.46",58539,6.3,62998,6.8,31.3,31.7,30.3,2.9
"IN","Washington","149.94",39759,12.1,28036,15,43.1,28.5,13.4,3.3
"IN","Wayne","109.28",42857,15.2,65884,13.5,37.3,30.9,18.2,3.6
"IN","Wells","141.61",42857,7.4,28296,7.8,40.2,33.8,18.2,2.7
"IN","White","139.97",44008,10.3,24102,11.2,41.6,30.8,16.4,2.7
"IN","Whitley","141.95",46555,7.7,33964,8.2,39.2,31.9,20.7,2.9
"IA","Adair","155.60",55251,10.7,7152,5.8,40.5,35.2,18.5,2.4
"IA","Allamakee","155.03",49945,13,13687,11.7,39.4,31.1,17.8,3.5
"IA","Audubon","148.94",58359,10.9,5496,10.5,37.1,35.3,17.1,2.5
"IA","Benton","144.12",55520,7.8,25645,5.9,36.9,35,22.1,3
"IA","Black Hawk","152.25",46326,13.7,131228,8.6,30.5,31.8,29.1,3.2
"IA","Boone","155.95",49794,8.7,26234,6.1,31.5,37.1,25.3,2.4
"IA","Bremer","152.08",50810,6.7,25062,3.6,32.9,32.8,30.7,2.3
"IA","Buchanan","165.55",50823,9.5,21175,5.9,38.5,34,21.5,2.8
"IA","Buena Vista","161.84",48394,10.2,19620,21.6,30.3,28.4,19.7,2.1
"IA","Butler","169.77",49509,10.5,14439,7.5,38,37.3,17.3,3.2
"IA","Calhoun","152.06",54273,11.5,9668,6.2,38,37.1,18.7,2.6
"IA","Carroll","155.37",58482,8.2,20165,6.5,36.7,34.5,22.4,1.9
"IA","Cass","139.31",50153,14.3,12836,12,37.9,30,20.1,2.8
"IA","Cedar","151.34",56419,7.8,18627,4.4,37.6,35.8,22.2,2.5
"IA","Cerro Gordo","149.32",54253,8.5,42450,7.3,30.6,38.5,23.6,2.7
"IA","Cherokee","151.45",65727,10.2,11235,6.9,35.8,35.1,22.2,2.5
"IA","Chickasaw","159.00",62483,8.5,11933,7.2,43.6,32,17.2,2.9
"IA","Clarke","140.53",42031,11.7,9395,12.2,38.9,32.9,16,2.9
"IA","Clay","154.59",54270,10.3,16016,6.4,34.4,36.4,22.7,2.8
"IA","Clayton","147.63",51982,11,17549,10.1,43.2,29,17.7,3.7
"IA","Clinton","145.10",46466,13.1,46429,9.1,38.8,34.2,17.9,3.7
"IA","Crawford","148.80",45817,12.5,16820,19.8,37.4,28.5,14.3,3.6
"IA","Dallas","141.83",68246,4.3,93453,4.4,17.7,27.6,50.4,2
"IA","Delaware","161.69",54823,8.6,17011,8.3,42.8,32.3,16.6,2.4
"IA","Des Moines","142.74",50725,14.9,38967,8,33.5,38.4,20.1,4
"IA","Dickinson","185.51",62364,7,17258,4,26.3,36.2,33.6,2.9
"IA","Dubuque","160.31",51525,10.7,97311,7.3,32.7,29.2,30.8,2.6
"IA","Emmet","154.79",48926,11.4,9208,9.3,32.8,39,18.8,2.6
"IA","Fayette","149.70",46621,13.2,19650,8.3,39.6,33.8,18.3,3.6
"IA","Floyd","156.26",50203,11.7,15642,9.9,35.4,34.9,19.8,3.6
"IA","Franklin","161.19",53241,11.2,10070,8.9,35.9,37.2,18,2.3
"IA","Fremont","141.44",50441,11.6,6960,7.9,33.6,39.6,18.9,2.8
"IA","Greene","155.53",53039,11.2,8888,6.6,39.7,35.1,18.7,2.4
"IA","Grundy","161.40",55017,5.5,12232,5.4,31.6,35.1,27.9,2.8
"IA","Guthrie","164.44",54843,8.8,10689,6.9,38.9,34.4,19.8,3
"IA","Hamilton","141.27",58399,9.1,14773,6.7,32.4,36.6,24.3,2.9
"IA","Hancock","165.62",57702,9,10630,6.7,36.3,33.2,23.8,2.4
"IA","Hardin","142.81",52844,10.6,16846,7.6,34.7,37,20.8,3.2
"IA","Harrison","139.98",49085,8.7,14049,8.5,37.2,34.9,19.5,2.4
"IA","Henry","141.77",44932,11.7,19954,7.4,36,36.9,19.6,2.7
"IA","Howard","169.83",53184,9.6,9158,9.1,40,35.1,15.8,2.8
"IA","Humboldt","149.76",52742,10.8,9558,7.2,37,34.6,21.2,2.7
"IA","Ida","160.27",56128,10.5,6860,6.8,38.8,35.8,18.6,2
"IA","Iowa","152.70",56382,6.7,16184,6.2,37.1,37.8,18.8,2.2
"IA","Jackson","164.88",47052,12.3,19439,7.4,42,31.4,19.2,3.2
"IA","Jasper","137.01",43987,8.4,37185,6.1,41.4,33.8,18.8,2.9
"IA","Jefferson","151.54",41936,14.2,18295,6.8,28,33.7,31.5,2.4
"IA","Johnson","158.37",54917,16,151140,5.1,16.3,25.9,52.8,2
"IA","Jones","153.05",45927,9.5,20681,7.7,39.6,33.3,19.5,3.2
"IA","Keokuk","153.07",48084,11.4,10246,7.1,40.4,34.2,18.3,3.3
"IA","Kossuth","153.96",56902,10.3,14813,6.1,37.4,39,17.5,2.2
"IA","Lee","131.95",43430,15,33657,7,40.8,35.7,16.4,3.9
"IA","Linn","137.45",53533,11.1,226706,5.5,27,34.3,33.1,2.9
"IA","Louisa","158.56",46211,9.2,11035,15.9,37.7,31.5,14.9,3.1
"IA","Lyon","178.92",66756,7.4,11755,9.4,37.1,32.8,20.7,1.6
"IA","Madison","153.88",50460,6.9,16338,5.8,36.6,33.2,24.5,3.6
"IA","Mahaska","138.32",46516,10.8,22095,7.8,39.6,30.6,22,2.5
"IA","Marion","147.83",50862,8.2,33253,6.7,34.1,30.4,28.8,2.1
"IA","Marshall","136.16",44589,13,39369,16.2,34.2,30.8,18.8,4.5
"IA","Mills","147.50",57897,8.8,15109,7.2,34.1,34.6,24.1,2.3
"IA","Mitchell","165.08",69700,9.3,10586,8.2,38.4,34.3,19,1.7
"IA","Monona","130.06",50103,12.3,8615,7.7,38.3,38.7,15.3,3
"IA","Montgomery","135.75",44918,13.2,9917,9.6,35.2,36.8,18.5,2.7
"IA","Muscatine","144.11",48563,10.1,42664,11,35.3,32.2,21.5,2.9
"IA","Osceola","177.89",61277,9.3,5958,11.6,36.6,34,17.9,1.9
"IA","Page","138.08",44442,14.9,15107,8.5,36.5,34.8,20.2,2.6
"IA","Palo Alto","167.23",58989,11.1,8886,7.3,29.2,38,25.5,2.2
"IA","Plymouth","160.27",60040,7.2,25177,6.9,33.9,36.1,23.2,2.2
"IA","Polk","152.95",53859,10.1,490161,8.5,24.5,30.3,36.7,2.8
"IA","Pottawattamie","142.06",47150,11,93206,10.5,32.7,35.3,21.5,2.4
"IA","Poweshiek","162.01",47199,11.6,18504,6.1,37.9,29.9,26.1,2.7
"IA","Sac","149.87",59085,9.5,9721,7.2,36.9,35.9,20,2.4
"IA","Scott","149.59",55758,11.8,172943,7.2,29.6,31.4,31.8,3.3
"IA","Shelby","163.52",56323,8.7,11454,7.6,35.3,34.9,22.2,2.1
"IA","Sioux","180.56",58585,7,34855,9.8,30.2,31,29.1,1.9
"IA","Story","150.92",43643,15.8,97117,2.8,17.4,28.1,51.6,1.9
"IA","Tama","145.38",48923,13.1,16854,8.7,40,35.5,15.8,3.1
"IA","Union","161.62",42530,12.1,12241,9.7,35.5,36.7,18,3.2
"IA","Wapello","146.01",40344,14.2,34969,11.9,34.9,34.4,18.8,3.7
"IA","Warren","149.05",51776,7.3,51466,4.6,30.8,32.7,31.9,2.5
"IA","Washington","151.28",62145,9.1,21965,8.6,39.3,30.3,21.8,2.5
"IA","Webster","138.25",48588,12.1,35904,9.5,33.9,36.7,19.9,3.1
"IA","Winnebago","139.28",45793,10.2,10354,7.6,34.1,36.6,21.8,2.8
"IA","Winneshiek","165.52",51904,8.6,19991,4.8,33,31.6,30.6,2.9
"IA","Woodbury","154.07",45132,12.8,103107,12.9,32.2,31.8,23.1,2.7
"IA","Worth","150.97",44675,9.8,7381,6.7,36.4,39.4,17.5,2.8
"IA","Wright","135.91",55258,11,12562,7.6,36.9,38.2,17.2,2.6
"KS","Allen","136.97",43163,17.3,12369,8.1,33.1,38.5,20.3,3.5
"KS","Anderson","136.11",42046,12.7,7858,9,42,30.9,18.1,3.3
"KS","Atchison","154.94",40335,13.8,16073,7.3,38.4,32.3,22,5.2
"KS","Barton","152.80",49460,13.4,25779,10.5,32,36.6,20.9,3.1
"KS","Bourbon","143.51",46149,15.6,14534,8.7,31.5,38.2,21.7,4.2
"KS","Brown","148.96",47930,15.4,9564,6.8,37.4,34.7,21.2,3.2
"KS","Butler","139.50",48216,8.5,66911,7.5,25.9,36.9,29.8,3.2
"KS","Cherokee","142.08",42872,15.4,19939,10.1,32.7,37.5,19.6,3.4
"KS","Clay","159.48",46888,10,8002,7.1,35.2,31,26.7,3.2
"KS","Coffey","157.87",55119,11.2,8179,7.3,32.1,36.1,24.5,4.5
"KS","Cowley","131.27",40042,13.5,34908,9.3,29.9,39,21.8,3.4
"KS","Crawford","147.60",39788,18.5,38818,7.9,29.3,33,29.9,3.9
"KS","Dickinson","152.40",44101,9.8,18466,8.5,33.2,35.4,22.9,3.6
"KS","Doniphan","160.55",44486,11.4,7600,9.7,36.8,32.4,21.1,3.4
"KS","Douglas","152.90",45163,15.1,122259,4.6,18.4,27.4,49.6,2.9
"KS","Ellis","168.73",47758,13.1,28553,6.7,26.9,30.1,36.3,2.3
"KS","Ellsworth","166.50",48380,9.6,6102,8.4,34.3,37.8,19.5,2.8
"KS","Finney","180.18",46823,13,36467,29,22.2,31.8,17.1,2.3
"KS","Ford","146.61",41373,13.8,33619,26.4,25.3,30.6,17.7,2.5
"KS","Franklin","155.90",44472,10.4,25544,7.8,37.6,34.2,20.4,3.3
"KS","Geary","152.35",51410,11.7,31670,6.2,25,45.6,23.2,4.4
"KS","Grant","140.59",54892,10.5,7150,23,25.9,36.2,14.9,2.9
"KS","Gray","138.85",75961,7.6,5988,22.6,22.5,34.6,20.2,2
"KS","Harvey","140.52",44416,9.3,34429,9.5,23.7,33.5,33.2,2.9
"KS","Jackson","144.88",43447,10.9,13171,5.4,39,35.3,20.2,2.9
"KS","Jefferson","149.63",46234,7.8,19043,6.5,39.7,30.6,23.2,3.1
"KS","Johnson","166.03",76206,5.3,602401,4,14.5,25.5,56,2.8
"KS","Kearny","144.95",59187,10.4,3838,24.1,32.4,28.8,14.7,2.3
"KS","Kingman","123.68",48512,11.3,7152,6.4,33,36.2,24.4,3.2
"KS","Labette","134.57",44760,15.8,19618,10.2,31.8,39.3,18.7,4
"KS","Leavenworth","148.58",44075,8.3,81758,7.8,28.3,32.4,31.5,3.4
"KS","Lyon","149.13",39962,15.1,33195,11.7,29.3,31.5,27.5,3.4
"KS","McPherson","155.44",56617,7.2,28542,8.7,27.9,35.4,28,2.2
"KS","Marion","134.26",45681,10.7,11884,8.4,30.3,36.2,25,3
"KS","Miami","147.23",50210,6.8,34237,4,31.8,34.4,29.8,3.3
"KS","Montgomery","138.53",39041,15.7,31829,11.2,29.2,40.1,19.5,4.1
"KS","Nemaha","154.71",53211,8.8,10231,5.8,39.8,29,25.4,2.8
"KS","Neosho","138.55",41324,15.7,16007,9.2,32.5,40.1,18.1,4.6
"KS","Osage","136.39",43460,14.2,15949,9.2,39.1,32.4,19.2,3.6
"KS","Ottawa","125.87",45417,9.9,5704,5.1,35.4,35.1,24.5,2.7
"KS","Pawnee","120.13",46226,14,6414,9.4,33.1,38,19.6,2.9
"KS","Pottawatomie","189.51",55271,7.2,24383,5.8,29.1,31.4,33.8,2.8
"KS","Pratt","148.26",53891,11.2,9164,7.9,24.9,36.9,30.3,2.5
"KS","Reno","131.16",42115,13.4,61998,11.5,27.7,39.9,20.9,3.2
"KS","Rice","137.57",47243,11.8,9537,8.4,29.3,39.5,22.8,2.8
"KS","Riley","166.09",42528,20.9,74232,4.2,19.1,31.1,45.6,2.8
"KS","Russell","173.61",47049,14.4,6856,11.9,27.2,37.7,23.1,2.9
"KS","Saline","139.98",50820,12.3,54224,8.5,30.1,34.1,27.3,3
"KS","Scott","158.79",74223,7.9,4823,15.6,27,32.4,25.1,1.9
"KS","Sedgwick","146.97",53577,12.6,516042,10.4,26.3,32.4,30.9,3.5
"KS","Seward","152.02",41567,14.2,21428,33.7,28.7,26.6,11,3.1
"KS","Shawnee","141.94",47991,9.8,176875,7.8,31.4,29.9,30.9,3.3
"KS","Sherman","149.00",46588,12.5,5917,7.7,30.3,40.3,21.8,2.7
"KS","Stevens","138.63",49540,9.7,5485,21.8,25.8,38.7,13.7,2.6
"KS","Sumner","142.44",42524,11.4,22836,7.7,34.9,34.1,23.3,3.4
"KS","Thomas","164.31",52540,9.1,7777,6.7,26.4,44.3,22.6,2.3
"KS","Wyandotte","163.62",34518,20.6,165429,21.1,32.1,28.6,18.1,4.3
"KY","Adair","157.62",32549,21.4,19202,20.4,39,24.9,15.7,5.3
"KY","Allen","154.42",32881,16.8,21315,17.9,38.5,27.5,16.1,4.2
"KY","Anderson","138.78",40581,10.2,22747,10.1,36.6,33.1,20.2,3.7
"KY","Ballard","134.17",38711,15.5,7888,12.8,36.4,34.8,15.9,5.7
"KY","Barren","144.32",37337,20.1,44249,17,42,24.7,16.3,4.5
"KY","Bath","133.40",31327,19.4,12500,23.1,41.2,21.2,14.5,6.2
"KY","Boone","132.03",49778,7.1,133581,6.9,27.5,33.5,32.1,3.4
"KY","Bourbon","148.07",51505,14.1,19788,16,35.6,28.9,19.4,3.8
"KY","Boyd","142.03",40453,20.6,46718,11.8,33.9,35,19.4,5.7
"KY","Boyle","146.42",38958,15.5,30060,12.9,33.5,28.5,25.2,4.7
"KY","Bullitt","145.43",42799,7.8,81676,11.5,41.6,32.1,14.7,4.1
"KY","Butler","140.90",35121,18,12879,20.4,42.9,22.8,13.9,4.8
"KY","Caldwell","160.76",35437,15.8,12747,13,45,26.7,15.3,5
"KY","Calloway","164.66",35878,16.5,39001,10.5,32.1,28.9,28.5,4.1
"KY","Campbell","157.36",50398,10.9,93584,9.2,28.2,26.2,36.3,3.5
"KY","Carroll","127.05",37806,15.2,10631,21.7,40.3,29.8,8.2,4
"KY","Carter","159.99",31713,20,26797,20.8,40.3,26.3,12.6,8.3
"KY","Casey","149.50",31688,25.2,16159,24,40.6,22.7,12.8,4.2
"KY","Christian","134.63",39504,18.9,70461,14.4,31,36.4,18.1,5.6
"KY","Clark","143.52",40413,13,36263,13.8,34.3,31.8,20.1,3.9
"KY","Crittenden","125.31",36354,19.2,8806,16.2,42,28.8,13.1,4.9
"KY","Daviess","149.99",42372,15.4,101511,10,34.1,32.9,22.9,3.9
"KY","Edmonson","152.90",34037,16,12150,21.9,39.3,28.5,10.3,4.9
"KY","Estill","155.05",32928,22.7,14106,24.4,45.8,20,9.9,5
"KY","Fayette","161.14",51707,15.4,323152,8.8,19.6,28,43.6,3.3
"KY","Floyd","131.57",37133,27.4,35589,24.8,37.8,26.1,11.3,6.4
"KY","Franklin","141.67",43271,11.5,50991,11,31.3,27.8,29.9,3.7
"KY","Garrard","135.31",35251,15.7,17666,19,37.1,26.4,17.6,4.6
"KY","Grant","136.26",37083,13.3,25069,13.4,47.4,26.3,12.9,4.1
"KY","Graves","138.97",38485,17.9,37266,12.6,39.5,30.6,17.4,4.6
"KY","Grayson","145.38",34450,20.3,26427,18.5,43,28,10.5,5
"KY","Green","141.85",34997,18.6,10941,24.5,37.8,24.5,13.2,4.4
"KY","Greenup","147.17",42516,15.9,35098,11,36,35.9,17.1,6.6
"KY","Hancock","161.57",38722,12.2,8722,14.6,43.4,30.6,11.4,3.8
"KY","Hardin","154.43",44244,10.7,110958,9.5,30.4,38.1,22,4.1
"KY","Harlan","180.89",31824,31.1,26010,27.2,34.6,27.4,10.8,9.6
"KY","Harrison","136.49",36545,15.3,18886,17.9,40.3,27.1,14.6,4.3
"KY","Hart","146.48",33648,20.1,19035,23.8,40.3,24.4,11.4,4.7
"KY","Henderson","144.96",41279,16.3,45210,13.1,36,32.7,18.2,3.8
"KY","Henry","139.52",39175,14.7,16126,14.9,41.2,30.8,13.1,3.7
"KY","Hopkins","155.50",40317,18.1,44686,13.3,40.4,29.8,16.5,4.6
"KY","Jefferson","155.85",54155,14.2,766757,9.4,26.7,30.5,33.4,4
"KY","Jessamine","147.09",46250,11,54115,12.7,30.5,27.3,29.5,3.6
"KY","Johnson","136.87",34356,25.8,22188,19.4,36.3,28,16.3,6.6
"KY","Kenton","140.69",58349,11.2,166998,10.1,28.7,29.5,31.7,3.6
"KY","Larue","150.52",38316,15.4,14398,16,39.2,32.4,12.4,4.5
"KY","Laurel","141.77",34289,21.4,60813,18.9,39.1,27.5,14.4,4.9
"KY","Lincoln","150.05",32881,19.7,24549,20.1,42.7,24.2,13,5
"KY","Livingston","149.27",38515,12.2,9194,16.2,43.6,28.3,11.8,5.7
"KY","Logan","146.73",36834,15.3,27102,15.1,44.5,24.1,16.4,4
"KY","Lyon","158.96",37276,14.5,8210,12.2,41.1,29.8,16.9,4.7
"KY","McCracken","143.96",49087,15.5,65418,9.5,31.4,34.9,24.2,4.9
"KY","Madison","146.71",36331,17.7,92987,12.5,28.1,28.7,30.8,3.9
"KY","Marion","155.09",37340,16.8,19273,18.5,45.3,23.5,12.6,3.9
"KY","Marshall","145.71",42342,11.8,31100,11.3,38.2,31.2,19.2,4.7
"KY","Mason","120.32",41350,15.7,17070,13.7,34.7,32.1,19.5,5.8
"KY","Meade","165.45",40942,11.4,28572,11.3,35.5,33.8,19.4,4.6
"KY","Mercer","149.64",37806,13.8,21933,15.6,36.8,29.1,18.5,4.6
"KY","Metcalfe","115.15",31848,22.6,10071,24.4,38.6,24,13,4.8
"KY","Monroe","133.14",36837,21.7,10650,25.2,39.3,21.1,14.4,3.9
"KY","Montgomery","137.96",35915,15.8,28157,15.2,40.3,28.9,15.7,5.3
"KY","Muhlenberg","141.22",35138,18.8,30622,17.9,44.8,24.8,12.6,6.2
"KY","Nelson","151.62",43809,10.5,46233,10.2,37.2,34.5,18,4.5
"KY","Ohio","152.09",33313,15.6,23994,16.7,43,26.7,13.6,5.1
"KY","Oldham","151.93",66238,4.9,66799,6.2,20.7,30.8,42.4,3.3
"KY","Owen","141.66",33365,15.7,10901,20.7,46.4,21.9,10.9,4.6
"KY","Pendleton","126.73",45039,12.4,14590,16.2,43.8,26.8,13.2,3.8
"KY","Perry","130.65",39308,24.2,25758,23.1,33,29.5,14.4,6.1
"KY","Pike","142.52",37490,24,57876,23,39.4,24.5,13,5.8
"KY","Powell","138.70",32532,21.5,12359,19.7,40,24.4,15.9,5.4
"KY","Pulaski","149.75",38492,22.5,64979,17.2,35.7,30.7,16.5,4.7
"KY","Rowan","128.08",31566,23.3,24460,15.8,33.4,25.7,25.1,5.3
"KY","Russell","150.75",37346,22.6,17923,21.5,38,25.9,14.7,5.7
"KY","Scott","146.69",44335,8.6,57004,9,30.3,32.3,28.4,3.5
"KY","Shelby","145.47",46657,9.4,49024,13.5,30.3,31.3,24.9,3.4
"KY","Simpson","140.23",39235,12.5,18572,13,44.9,27.9,14.2,4.5
"KY","Spencer","148.18",45208,7.3,19351,9.6,36.3,33.8,20.3,3.6
"KY","Taylor","152.71",35546,16.4,25769,12.9,39.2,28.3,19.6,4.3
"KY","Trigg","148.01",37633,14.6,14651,12,33.2,38.3,16.6,4.7
"KY","Trimble","122.08",39400,11.9,8471,17.2,46.3,22.4,14.1,4.4
"KY","Union","153.35",36348,17.3,14381,10,47.8,31.1,11.1,4.5
"KY","Warren","154.25",38268,15.4,132896,11.9,26.6,29.3,32.2,3.9
"KY","Washington","157.55",38210,14.4,12095,16,42.4,22.8,18.8,3.9
"KY","Wayne","146.01",28935,23.8,20333,25.4,38.7,23.6,12.3,5.8
"KY","Webster","169.16",39965,16.3,12942,17.5,47,25.4,10,4
"KY","Whitley","139.10",34663,22.6,36264,18.6,36.9,24.1,20.4,5.2
"KY","Woodford","152.27",53292,8.3,26734,8.9,29.8,27.5,33.8,3.1
"ME","Androscoggin","168.84",42968,10.4,108277,9.8,35.5,32,22.8,3
"ME","Aroostook","158.53",43189,15.5,67055,11.4,37.3,32,19.2,4.6
"ME","Cumberland","191.37",64948,7.8,295003,4.9,22.2,25.4,47.6,2.4
"ME","Franklin","162.26",40189,12.6,30199,7.4,38,29.7,24.8,3.8
"ME","Hancock","178.61",52294,10.6,54987,5.9,30.8,29.2,34.1,3.5
"ME","Kennebec","159.29",46958,11.5,122302,7.5,32.7,31.8,28.1,2.9
"ME","Knox","166.23",51959,10.9,39772,6.4,32.9,27.1,33.5,2.9
"ME","Lincoln","157.66",51687,11,34634,6.9,34.4,25.2,33.5,3
"ME","Oxford","156.46",39240,13,57975,8.1,42,30.7,19.2,3.6
"ME","Penobscot","155.49",43136,12.4,152148,8,33.6,30.7,27.7,3.2
"ME","Sagadahoc","176.54",52736,8.6,35856,6,30,27.7,36.4,2.3
"ME","Somerset","169.92",39282,18.3,50484,11.6,40.4,31.5,16.5,4.5
"ME","Waldo","160.24",43793,13.7,39715,7.8,32.2,28.6,31.4,3.2
"ME","Washington","132.93",41094,19.6,31379,10.7,38,29.2,22,4.6
"ME","York","181.71",54225,7.9,207641,6.8,30,30.7,32.5,2.7
"MD","Allegany","141.70",41454,16,70416,9.8,41.8,29.5,18.9,5.2
"MD","Anne Arundel","195.39",69035,5.8,579234,7.6,23.7,27,41.7,3.1
"MD","Baltimore","178.41",62976,8.9,827370,8.5,25.8,26.4,39.4,3.7
"MD","Calvert","171.59",63976,5.7,92525,5.3,30.3,32,32.4,3.2
